"from","to","from_class","to_class","type","edge_class"
"1","2","people","people",1,"Hang Out Together"
"1","3","people","people",1,"Hang Out Together"
"1","4","people","people",2,"Co-Offend Together"
"1","5","people","people",1,"Hang Out Together"
"1","6","people","people",1,"Hang Out Together"
"1","7","people","people",2,"Co-Offend Together"
"1","8","people","people",3,"Co-Offend Together, Serious Crime"
"1","9","people","people",2,"Co-Offend Together"
"1","10","people","people",2,"Co-Offend Together"
"1","11","people","people",3,"Co-Offend Together, Serious Crime"
"1","12","people","people",1,"Hang Out Together"
"1","17","people","people",1,"Hang Out Together"
"1","18","people","people",1,"Hang Out Together"
"1","20","people","people",2,"Co-Offend Together"
"1","21","people","people",2,"Co-Offend Together"
"1","22","people","people",3,"Co-Offend Together, Serious Crime"
"1","23","people","people",1,"Hang Out Together"
"1","25","people","people",1,"Hang Out Together"
"1","27","people","people",1,"Hang Out Together"
"1","28","people","people",1,"Hang Out Together"
"1","29","people","people",1,"Hang Out Together"
"1","43","people","people",1,"Hang Out Together"
"1","45","people","people",1,"Hang Out Together"
"1","46","people","people",1,"Hang Out Together"
"1","51","people","people",1,"Hang Out Together"
"2","3","people","people",3,"Co-Offend Together, Serious Crime"
"2","6","people","people",2,"Co-Offend Together"
"2","7","people","people",1,"Hang Out Together"
"2","8","people","people",2,"Co-Offend Together"
"2","9","people","people",1,"Hang Out Together"
"2","10","people","people",2,"Co-Offend Together"
"2","11","people","people",2,"Co-Offend Together"
"2","12","people","people",1,"Hang Out Together"
"2","13","people","people",1,"Hang Out Together"
"2","14","people","people",3,"Co-Offend Together, Serious Crime"
"2","16","people","people",2,"Co-Offend Together"
"2","18","people","people",1,"Hang Out Together"
"2","21","people","people",1,"Hang Out Together"
"2","22","people","people",2,"Co-Offend Together"
"2","23","people","people",2,"Co-Offend Together"
"2","25","people","people",1,"Hang Out Together"
"2","28","people","people",1,"Hang Out Together"
"2","29","people","people",3,"Co-Offend Together, Serious Crime"
"2","30","people","people",2,"Co-Offend Together"
"2","31","people","people",2,"Co-Offend Together"
"2","38","people","people",2,"Co-Offend Together"
"3","4","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"3","5","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"3","6","people","people",3,"Co-Offend Together, Serious Crime"
"3","7","people","people",1,"Hang Out Together"
"3","8","people","people",3,"Co-Offend Together, Serious Crime"
"3","9","people","people",2,"Co-Offend Together"
"3","10","people","people",2,"Co-Offend Together"
"3","12","people","people",1,"Hang Out Together"
"3","13","people","people",1,"Hang Out Together"
"3","14","people","people",3,"Co-Offend Together, Serious Crime"
"3","15","people","people",1,"Hang Out Together"
"3","18","people","people",1,"Hang Out Together"
"3","21","people","people",1,"Hang Out Together"
"3","22","people","people",1,"Hang Out Together"
"3","29","people","people",1,"Hang Out Together"
"3","33","people","people",2,"Co-Offend Together"
"3","34","people","people",2,"Co-Offend Together"
"3","35","people","people",2,"Co-Offend Together"
"3","36","people","people",2,"Co-Offend Together"
"3","54","people","people",2,"Co-Offend Together"
"4","5","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"4","6","people","people",3,"Co-Offend Together, Serious Crime"
"4","7","people","people",1,"Hang Out Together"
"4","12","people","people",1,"Hang Out Together"
"4","13","people","people",2,"Co-Offend Together"
"4","14","people","people",3,"Co-Offend Together, Serious Crime"
"4","15","people","people",1,"Hang Out Together"
"4","17","people","people",2,"Co-Offend Together"
"4","18","people","people",2,"Co-Offend Together"
"4","19","people","people",1,"Hang Out Together"
"4","20","people","people",1,"Hang Out Together"
"4","23","people","people",2,"Co-Offend Together"
"4","25","people","people",1,"Hang Out Together"
"4","28","people","people",1,"Hang Out Together"
"4","35","people","people",1,"Hang Out Together"
"4","36","people","people",1,"Hang Out Together"
"4","41","people","people",1,"Hang Out Together"
"4","44","people","people",1,"Hang Out Together"
"4","49","people","people",1,"Hang Out Together"
"5","6","people","people",3,"Co-Offend Together, Serious Crime"
"5","7","people","people",1,"Hang Out Together"
"5","9","people","people",1,"Hang Out Together"
"5","10","people","people",1,"Hang Out Together"
"5","12","people","people",1,"Hang Out Together"
"5","13","people","people",3,"Co-Offend Together, Serious Crime"
"5","14","people","people",3,"Co-Offend Together, Serious Crime"
"5","15","people","people",1,"Hang Out Together"
"5","17","people","people",2,"Co-Offend Together"
"5","18","people","people",2,"Co-Offend Together"
"5","19","people","people",1,"Hang Out Together"
"5","20","people","people",1,"Hang Out Together"
"5","23","people","people",2,"Co-Offend Together"
"5","25","people","people",1,"Hang Out Together"
"5","47","people","people",1,"Hang Out Together"
"5","49","people","people",1,"Hang Out Together"
"6","7","people","people",1,"Hang Out Together"
"6","12","people","people",1,"Hang Out Together"
"6","13","people","people",2,"Co-Offend Together"
"6","14","people","people",3,"Co-Offend Together, Serious Crime"
"6","15","people","people",1,"Hang Out Together"
"6","17","people","people",2,"Co-Offend Together"
"6","18","people","people",2,"Co-Offend Together"
"6","19","people","people",1,"Hang Out Together"
"6","20","people","people",1,"Hang Out Together"
"6","23","people","people",2,"Co-Offend Together"
"6","49","people","people",1,"Hang Out Together"
"7","8","people","people",1,"Hang Out Together"
"7","9","people","people",2,"Co-Offend Together"
"7","10","people","people",2,"Co-Offend Together"
"7","11","people","people",1,"Hang Out Together"
"7","12","people","people",1,"Hang Out Together"
"7","14","people","people",1,"Hang Out Together"
"7","16","people","people",2,"Co-Offend Together"
"7","18","people","people",1,"Hang Out Together"
"7","19","people","people",1,"Hang Out Together"
"7","21","people","people",3,"Co-Offend Together, Serious Crime"
"7","22","people","people",2,"Co-Offend Together"
"7","23","people","people",1,"Hang Out Together"
"7","25","people","people",1,"Hang Out Together"
"7","27","people","people",1,"Hang Out Together"
"7","29","people","people",1,"Hang Out Together"
"7","33","people","people",2,"Co-Offend Together"
"7","46","people","people",1,"Hang Out Together"
"7","47","people","people",1,"Hang Out Together"
"7","48","people","people",1,"Hang Out Together"
"8","9","people","people",2,"Co-Offend Together"
"8","10","people","people",2,"Co-Offend Together"
"8","11","people","people",1,"Hang Out Together"
"8","12","people","people",1,"Hang Out Together"
"8","14","people","people",1,"Hang Out Together"
"8","21","people","people",1,"Hang Out Together"
"8","22","people","people",1,"Hang Out Together"
"8","23","people","people",1,"Hang Out Together"
"8","27","people","people",1,"Hang Out Together"
"8","29","people","people",1,"Hang Out Together"
"8","31","people","people",2,"Co-Offend Together"
"9","10","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"9","11","people","people",1,"Hang Out Together"
"9","12","people","people",1,"Hang Out Together"
"9","13","people","people",1,"Hang Out Together"
"9","20","people","people",2,"Co-Offend Together"
"9","21","people","people",1,"Hang Out Together"
"9","22","people","people",3,"Co-Offend Together, Serious Crime"
"9","23","people","people",3,"Co-Offend Together, Serious Crime"
"9","25","people","people",2,"Co-Offend Together"
"9","28","people","people",1,"Hang Out Together"
"9","29","people","people",2,"Co-Offend Together"
"9","31","people","people",2,"Co-Offend Together"
"9","39","people","people",1,"Hang Out Together"
"9","41","people","people",1,"Hang Out Together"
"9","46","people","people",1,"Hang Out Together"
"10","11","people","people",1,"Hang Out Together"
"10","12","people","people",1,"Hang Out Together"
"10","13","people","people",1,"Hang Out Together"
"10","20","people","people",2,"Co-Offend Together"
"10","21","people","people",1,"Hang Out Together"
"10","22","people","people",2,"Co-Offend Together"
"10","23","people","people",3,"Co-Offend Together, Serious Crime"
"10","25","people","people",2,"Co-Offend Together"
"10","27","people","people",1,"Hang Out Together"
"10","28","people","people",1,"Hang Out Together"
"10","29","people","people",2,"Co-Offend Together"
"10","31","people","people",2,"Co-Offend Together"
"10","39","people","people",2,"Co-Offend Together"
"10","41","people","people",1,"Hang Out Together"
"10","54","people","people",1,"Hang Out Together"
"11","12","people","people",1,"Hang Out Together"
"11","19","people","people",2,"Co-Offend Together"
"11","20","people","people",2,"Co-Offend Together"
"11","21","people","people",1,"Hang Out Together"
"11","22","people","people",1,"Hang Out Together"
"11","23","people","people",1,"Hang Out Together"
"11","25","people","people",2,"Co-Offend Together"
"11","28","people","people",1,"Hang Out Together"
"11","29","people","people",1,"Hang Out Together"
"11","48","people","people",1,"Hang Out Together"
"11","51","people","people",1,"Hang Out Together"
"11","54","people","people",3,"Co-Offend Together, Serious Crime"
"12","14","people","people",1,"Hang Out Together"
"12","18","people","people",1,"Hang Out Together"
"12","21","people","people",2,"Co-Offend Together"
"12","22","people","people",1,"Hang Out Together"
"12","23","people","people",1,"Hang Out Together"
"12","25","people","people",1,"Hang Out Together"
"12","27","people","people",1,"Hang Out Together"
"12","29","people","people",1,"Hang Out Together"
"12","33","people","people",1,"Hang Out Together"
"12","34","people","people",1,"Hang Out Together"
"12","35","people","people",2,"Co-Offend Together"
"12","36","people","people",1,"Hang Out Together"
"12","37","people","people",1,"Hang Out Together"
"12","44","people","people",1,"Hang Out Together"
"13","14","people","people",3,"Co-Offend Together, Serious Crime"
"13","15","people","people",2,"Co-Offend Together"
"13","16","people","people",1,"Hang Out Together"
"13","21","people","people",1,"Hang Out Together"
"14","15","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"14","16","people","people",2,"Co-Offend Together"
"14","18","people","people",1,"Hang Out Together"
"14","21","people","people",1,"Hang Out Together"
"14","22","people","people",1,"Hang Out Together"
"14","23","people","people",1,"Hang Out Together"
"14","27","people","people",1,"Hang Out Together"
"14","28","people","people",1,"Hang Out Together"
"14","30","people","people",2,"Co-Offend Together"
"14","33","people","people",2,"Co-Offend Together"
"14","34","people","people",2,"Co-Offend Together"
"14","35","people","people",2,"Co-Offend Together"
"14","36","people","people",2,"Co-Offend Together"
"14","38","people","people",2,"Co-Offend Together"
"14","54","people","people",2,"Co-Offend Together"
"15","16","people","people",1,"Hang Out Together"
"16","28","people","people",2,"Co-Offend Together"
"16","29","people","people",3,"Co-Offend Together, Serious Crime"
"16","30","people","people",2,"Co-Offend Together"
"17","18","people","people",2,"Co-Offend Together"
"18","19","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"18","20","people","people",2,"Co-Offend Together"
"18","51","people","people",2,"Co-Offend Together"
"18","53","people","people",2,"Co-Offend Together"
"19","20","people","people",3,"Co-Offend Together, Serious Crime"
"19","40","people","people",2,"Co-Offend Together"
"19","41","people","people",1,"Hang Out Together"
"19","42","people","people",2,"Co-Offend Together"
"19","50","people","people",1,"Hang Out Together"
"19","51","people","people",1,"Hang Out Together"
"19","54","people","people",2,"Co-Offend Together"
"20","40","people","people",1,"Hang Out Together"
"20","41","people","people",1,"Hang Out Together"
"20","42","people","people",1,"Hang Out Together"
"20","50","people","people",1,"Hang Out Together"
"20","51","people","people",1,"Hang Out Together"
"20","54","people","people",2,"Co-Offend Together"
"21","22","people","people",2,"Co-Offend Together"
"21","23","people","people",2,"Co-Offend Together"
"21","25","people","people",1,"Hang Out Together"
"21","27","people","people",1,"Hang Out Together"
"21","28","people","people",1,"Hang Out Together"
"21","29","people","people",1,"Hang Out Together"
"21","31","people","people",1,"Hang Out Together"
"21","32","people","people",1,"Hang Out Together"
"22","23","people","people",3,"Co-Offend Together, Serious Crime"
"22","24","people","people",1,"Hang Out Together"
"22","25","people","people",1,"Hang Out Together"
"22","26","people","people",1,"Hang Out Together"
"22","27","people","people",2,"Co-Offend Together"
"22","28","people","people",1,"Hang Out Together"
"22","29","people","people",1,"Hang Out Together"
"22","31","people","people",1,"Hang Out Together"
"22","32","people","people",1,"Hang Out Together"
"22","34","people","people",1,"Hang Out Together"
"22","35","people","people",1,"Hang Out Together"
"22","36","people","people",1,"Hang Out Together"
"22","37","people","people",1,"Hang Out Together"
"23","24","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"23","25","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"23","26","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"23","28","people","people",1,"Hang Out Together"
"23","29","people","people",1,"Hang Out Together"
"23","31","people","people",1,"Hang Out Together"
"23","32","people","people",1,"Hang Out Together"
"23","48","people","people",2,"Co-Offend Together"
"23","52","people","people",1,"Hang Out Together"
"24","25","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"24","26","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"24","28","people","people",1,"Hang Out Together"
"24","52","people","people",1,"Hang Out Together"
"25","26","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"25","28","people","people",1,"Hang Out Together"
"25","29","people","people",1,"Hang Out Together"
"25","31","people","people",1,"Hang Out Together"
"25","32","people","people",1,"Hang Out Together"
"25","33","people","people",1,"Hang Out Together"
"25","35","people","people",1,"Hang Out Together"
"25","36","people","people",1,"Hang Out Together"
"25","48","people","people",2,"Co-Offend Together"
"25","52","people","people",1,"Hang Out Together"
"26","28","people","people",1,"Hang Out Together"
"26","52","people","people",1,"Hang Out Together"
"28","29","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"28","30","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"28","35","people","people",1,"Hang Out Together"
"28","36","people","people",1,"Hang Out Together"
"29","30","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"29","32","people","people",2,"Co-Offend Together"
"31","32","people","people",3,"Co-Offend Together, Serious Crime"
"31","33","people","people",2,"Co-Offend Together"
"31","35","people","people",1,"Hang Out Together"
"31","36","people","people",1,"Hang Out Together"
"32","37","people","people",1,"Hang Out Together"
"33","34","people","people",1,"Hang Out Together"
"33","35","people","people",1,"Hang Out Together"
"33","36","people","people",1,"Hang Out Together"
"33","37","people","people",1,"Hang Out Together"
"34","35","people","people",2,"Co-Offend Together"
"34","36","people","people",2,"Co-Offend Together"
"34","37","people","people",1,"Hang Out Together"
"35","36","people","people",4,"Co-Offend Together, Seriour Crime, Kin"
"35","37","people","people",1,"Hang Out Together"
"36","37","people","people",1,"Hang Out Together"
"42","43","people","people",2,"Co-Offend Together"
"42","44","people","people",2,"Co-Offend Together"
"42","51","people","people",2,"Co-Offend Together"
"43","44","people","people",2,"Co-Offend Together"
"43","46","people","people",2,"Co-Offend Together"
"43","51","people","people",2,"Co-Offend Together"
"43","53","people","people",1,"Hang Out Together"
"45","46","people","people",2,"Co-Offend Together"
"47","48","people","people",1,"Hang Out Together"
